"property","description","type","default","version","isEnum"
"color","Customize Badge dot color","string","-","",false
"count","Number to show in badge","ReactNode","-","",false
"dot","Whether to display a red dot instead of count","boolean","false","",false
"offset","Set offset of the badge dot","[number, number]","-","",false
"overflowCount","Max count to show","number","99","",false
"showZero","Whether to show badge when count is zero","boolean","false","",false
"size","If count is set, size sets the size of badge","default | small","-","4.6.0",false
"status","Set Badge as a status dot","success | processing | default | error | warning","-","",false
"text","If status is set, text sets the display text of the status dot","ReactNode","-","",false
"title","Text to show when hovering over the badge","string","-","",false
