"property","description","type","default","version"
"itemRender","Custom item renderer","(route, params, routes, paths) => ReactNode","-",""
"params","Routing parameters","object","-",""
"routes","The routing stack information of router","routes[]","-",""
"separator","Custom separator","ReactNode","/",""
"className","The additional css class","string","-",""
"dropdownProps","The dropdown props","Dropdown","-",""
"href","Target of hyperlink","string","-",""
"overlay","The dropdown menu","Menu | () => Menu","-",""
"onClick","Set the handler to handle click event","(e:MouseEvent) => void","-",""
"children","Custom separator","ReactNode","/",""
