"property","description","type","default","version","isEnum"
"block","Option to fit button width to its parent width","boolean","false","",false
"danger","Set the danger status of button","boolean","false","",false
"disabled","Disabled state of button","boolean","false","",false
"ghost","Make background transparent and invert text and border colors","boolean","false","",false
"href","Redirect url of link button","string","-","",false
"htmlType","Set the original html type of button, see: MDN","string","button","",false
"icon","Set the icon component of button","ReactNode","-","",false
"loading","Set the loading status of button","boolean | { delay: number }","false","",false
"shape","Can be set button shape","circle | round","-","",false
"size","Set the size of button","large | middle | small","middle","",false
"target","Same as target attribute of a, works when href is specified","string","-","",false
"type","Can be set to primary ghost dashed link text default","string","default","",false
"onClick","Set the handler to handle click event","(event) => void","-","",false
