"property","description","type","default","version","isEnum"
"actions","The action list, shows at the bottom of the Card","Array<ReactNode>","-","",false
"activeTabKey","Current TabPane's key","string","-","",false
"bodyStyle","Inline style to apply to the card content","CSSProperties","-","",false
"bordered","Toggles rendering of the border around the card","boolean","true","",false
"cover","Card cover","ReactNode","-","",false
"defaultActiveTabKey","Initial active TabPane's key, if activeTabKey is not set","string","-","",false
"extra","Content to render in the top-right corner of the card","ReactNode","-","",false
"headStyle","Inline style to apply to the card head","CSSProperties","-","",false
"hoverable","Lift up when hovering card","boolean","false","",false
"loading","Shows a loading indicator while the contents of the card are being fetched","boolean","false","",false
"size","Size of card","default | small","default","",false
"tabBarExtraContent","Extra content in tab bar","ReactNode","-","",false
"tabList","List of TabPane's head","Array<{key: string, tab: ReactNode}>","-","",false
"tabProps","Tabs","-","-","",false
"title","Card title","ReactNode","-","",false
"type","Card style type, can be set to inner or not set","string","-","",false
"onTabChange","Callback when tab is switched","(key) => void","-","",false
