"property","description","type","default","version"
"autoplay","Whether to scroll automatically","boolean","false",""
"dotPosition","The position of the dots, which can be one of top bottom left right","string","bottom",""
"dots","Whether to show the dots at the bottom of the gallery, object for dotsClass and any others","boolean | { className?: string }","true",""
"easing","Transition interpolation function name","string","linear",""
"effect","Transition effect","scrollx | fade","scrollx",""
"afterChange","Callback function called after the current index changes","function(current)","-",""
"beforeChange","Callback function called before the current index changes","function(from, to)","-",""
"goTo(slideNumber, dontAnimate)","Go to slide index, if dontAnimate=true, it happens without animation",,,
"next()","Change current slide to next slide",,,
"prev()","Change current slide to previous slide",,,
