"property","description","type","default","version"
"autoFocus","If get focus when component mounted","boolean","false",""
"checked","Specifies whether the checkbox is selected","boolean","false",""
"defaultChecked","Specifies the initial state: whether or not the checkbox is selected","boolean","false",""
"disabled","If disable checkbox","boolean","false",""
"indeterminate","The indeterminate checked state of checkbox","boolean","false",""
"onChange","The callback function that is triggered when the state changes","function(e:Event)","-",""
"defaultValue","Default selected value","string[]","[]",""
"disabled","If disable all checkboxes","boolean","false",""
"name","The name property of all input[type=""checkbox""] children","string","-",""
"options","Specifies options","string[] | Option[]","[]",""
"value","Used for setting the currently selected value","string[]","[]",""
"onChange","The callback function that is triggered when the state changes","function(checkedValue)","-",""
"blur()","Remove focus","",,
"focus()","Get focus","",,
