"property","description","type","default","version","isEnum"
"allowClear","Whether to show clear button","boolean","true","",false
"autoFocus","If get focus when component mounted","boolean","false","",false
"bordered","Whether has border style","boolean","true","",false
"className","The picker className","string","-","",false
"dateRender","Custom rendering function for date cells","function(currentDate: moment, today: moment) => React.ReactNode","-","",false
"disabled","Determine whether the DatePicker is disabled","boolean","false","",false
"disabledDate","Specify the date that cannot be selected","(currentDate: moment) => boolean","-","",false
"dropdownClassName","To customize the className of the popup calendar","string","-","",false
"getPopupContainer","To set the container of the floating layer, while the default is to create a div element in body","function(trigger)","-","",false
"inputReadOnly","Set the readonly attribute of the input tag (avoids virtual keyboard on touch devices)","boolean","false","",false
"locale","Localization configuration","object","default","",false
"mode","The picker panel mode（ Cannot select year or month anymore? )","time | date | month | year | decade","-","",false
"open","The open state of picker","boolean","-","",false
"panelRender","Customize panel render","(panelNode) => ReactNode","-","4.5.0",false
"picker","Set picker type","date | week | month | quarter | year","date","quarter: 4.1.0",false
"placeholder","The placeholder of date input","string | [string,string]","-","",false
"popupStyle","To customize the style of the popup calendar","CSSProperties","{}","",false
"size","To determine the size of the input box, the height of large and small, are 40px and 24px respectively, while default size is 32px","large | middle | small","-","",false
"style","To customize the style of the input box","CSSProperties","{}","",false
"suffixIcon","The custom suffix icon","ReactNode","-","",false
"onOpenChange","Callback function, can be executed whether the popup calendar is popped up or closed","function(open)","-","",false
"onPanelChange","Callback when picker panel mode is changed","function(value, mode)","-","",false
