"property","description","type","default","version","isEnum"
"afterVisibleChange","Callback after the animation ends when switching drawers","function(visible)","-","",false
"bodyStyle","Style of the drawer content part","object","-","",false
"className","The class name of the container of the Drawer dialog","string","-","",false
"closable","Whether a close (x) button is visible on top right of the Drawer dialog or not","boolean","true","",false
"closeIcon","Custom close icon","ReactNode","<CloseOutlined />","",false
"contentWrapperStyle","Style of the drawer wrapper of content part","CSSProperties","-","",false
"destroyOnClose","Whether to unmount child components on closing drawer or not","boolean","false","",false
"drawerStyle","Style of the popup layer element","object","-","",false
"footer","The footer for Drawer","ReactNode","-","",false
"footerStyle","Style of the drawer footer part","CSSProperties","-","",false
"forceRender","Prerender Drawer component forcely","boolean","false","",false
"getContainer","Return the mounted node for Drawer","HTMLElement | () => HTMLElement | Selectors | false","body","",false
"headerStyle","Style of the drawer header part","object","-","",false
"height","Placement is top or bottom, height of the Drawer dialog","string | number","256","",false
"keyboard","Whether support press esc to close","boolean","true","",false
"mask","Whether to show mask or not","boolean","true","",false
"maskClosable","Clicking on the mask (area outside the Drawer) to close the Drawer or not","boolean","true","",false
"maskStyle","Style for Drawer's mask element","CSSProperties","{}","",false
"placement","The placement of the Drawer","top | right | bottom | left","right","",false
"push","Nested drawers push behavior","boolean | { distance: string | number }","{ distance: 180 }","4.5.0+",false
"style","Style of wrapper element which contains mask compare to drawerStyle","CSSProperties","-","",false
"title","The title for Drawer","ReactNode","-","",false
"visible","Whether the Drawer dialog is visible or not","boolean","false","",false
"width","Width of the Drawer dialog","string | number","256","",false
"zIndex","The z-index of the Drawer","number","1000","",false
"onClose","Specify a callback that will be called when a user clicks mask, close button or Cancel button","function(e)","-","",false
