"property","description","type","default","version","isEnum"
"name","Field name, support array","string","","",false
"label","Label text","string","","",false
"required","Display required style. It will be generated by the validation rule","boolean","false","",false
"colon","Used with label, whether to display : after label text.","boolean","true","",false
"extra","The extra prompt message. It is similar to help. Usage example: to display error message and prompt message at the same time","string","","",false
"help","The prompt message. If not provided, the prompt message will be generated by the validation rule.","string","","",false
"hidden","Whether to hide Form.Item (still collect and validate value)","boolean","","",false
"htmlFor","Set sub label htmlFor","string","","",false
"initialValue","Config sub default value. Form initialValues get higher priority when conflict","string","","",false
"labelAlign","The text align of label","left | right","","",true
"trigger","When to collect the value of children node.","string","onChange","",true
