"property","description","type","default","version","isEnum"
"colon","Configure the default value of colon for Form.Item. Indicates whether the colon after the label is displayed (only effective when prop layout is horizontal)","boolean","true","",false
"component","Set the Form rendering element. Do not create a DOM node for false","ComponentType | false","form","",false
"fields","Control of form fields through state management (such as redux). Not recommended for non-strong demand. View example","FieldData[]","-","",false
"form","Form control instance created by Form.useForm(). Automatically created when not provided","FormInstance","-","",false
"initialValues","Set value by Form initialization or reset","object","-","",false
"labelAlign","The text align of label of all items","left | right","right","",false
"labelCol","Label layout, like <Col> component. Set span offset value like {span: 3, offset: 12} or sm: {span: 3, offset: 12}","object","-","",false
"layout","Form layout","horizontal | vertical | inline","horizontal","",false
"name","Form name. Will be the prefix of Field id","string","-","",false
"preserve","Keep field value even when field removed","boolean","true","4.4.0",false
"requiredMark","Required mark style. Can use required mark or optional mark. You can not config to single Form.Item since this is a Form level config","boolean | optional","true","4.6.0",false
"scrollToFirstError","Auto scroll to first failed field when submit","boolean | Options","false","",false
"size","Set field component size (antd components only)","small | middle | large","-","",false
"validateMessages","Validation prompt template, description see below","ValidateMessages","-","",false
"validateTrigger","Config field validate trigger","string | string[]","onChange","4.3.0",false
"wrapperCol","The layout for input controls, same as labelCol","object","-","",false
"onFieldsChange","Trigger when field updated","function(changedFields, allFields)","-","",false
"onFinish","Trigger after submitting the form and verifying data successfully","function(values)","-","",false
"onFinishFailed","Trigger after submitting the form and verifying data failed","function({ values, errorFields, outOfDate })","-","",false
"onValuesChange","Trigger when value updated","function(changedValues, allValues)","-","",false
