"property","description","type","default","version","isEnum"
"flex","Flex layout style","string | number","-","",false
"offset","The number of cells to offset Col from the left","number","0","",false
"order","Raster order","number","0","",false
"pull","The number of cells that raster is moved to the left","number","0","",false
"push","The number of cells that raster is moved to the right","number","0","",false
"span","Raster number of cells to occupy, 0 corresponds to display: none","number","none","",false
"xs","screen < 576px and also default setting, could be a span value or an object containing above props","number | object","-","",false
"sm","screen ≥ 576px, could be a span value or an object containing above props","number | object","-","",false
"md","screen ≥ 768px, could be a span value or an object containing above props","number | object","-","",false
"lg","screen ≥ 992px, could be a span value or an object containing above props","number | object","-","",false
"xl","screen ≥ 1200px, could be a span value or an object containing above props","number | object","-","",false
"xxl","screen ≥ 1600px, could be a span value or an object containing above props","number | object","-","",false
