"property","description","type","default","version"
"className","The className of Icon","string","-",""
"rotate","Rotate by n degrees (not working in IE9)","number","-",""
"spin","Rotate icon with animation","boolean","false",""
"style","The style properties of icon, like fontSize and color","CSSProperties","-",""
"twoToneColor","Only supports the two-tone icon. Specify the primary color","string (hex color)","-",""
"component","The component used for the root node","ComponentType<CustomIconComponentProps>","-",""
"rotate","Rotate degrees (not working in IE9)","number","-",""
"spin","Rotate icon with animation","boolean","false",""
"style","The style properties of icon, like fontSize and color","CSSProperties","-",""
"extraCommonProps","Define extra properties to the component","{ [key: string]: any }","{}",""
"scriptUrl","The URL generated by iconfont.cn project. Support string[] after @ant-design/icons@4.1.0","string | string[]","-",""
"className","The computed class name of the svg element","string","-",""
"fill","Define the color used to paint the svg element","string","currentColor",""
"height","The height of the svg element","string | number","1em",""
"style","The computed style of the svg element","CSSProperties","-",""
"width","The width of the svg element","string | number","1em",""
