"property","description","type","default","version","isEnum"
"addonAfter","The label text displayed after (on the right side of) the input field","ReactNode","-","",false
"addonBefore","The label text displayed before (on the left side of) the input field","ReactNode","-","",false
"allowClear","If allow to remove input content with clear icon","boolean","false","",false
"bordered","Whether has border style","boolean","true","4.5.0",false
"defaultValue","The initial input content","string","-","",false
"disabled","Whether the input is disabled","boolean","false","",false
"id","The ID for input","string","-","",false
"maxLength","The max length","number","-","",false
"prefix","The prefix icon for the Input","ReactNode","-","",false
"size","The size of the input box. Note: in the context of a form, the large size is used","large | middle | small","-","",false
"suffix","The suffix icon for the Input","ReactNode","-","",false
"type","The type of input, see: MDN( use Input.TextArea instead of type=""textarea"")","string","text","",false
"value","The input content value","string","-","",false
"onChange","Callback when user input","function(e)","-","",false
"onPressEnter","The callback function that is triggered when Enter key is pressed","function(e)","-","",false
