"property","description","type","default","version"
"autoFocus","If get focus when component mounted","boolean","false","-"
"bordered","Whether has border style","boolean","true","4.12.0"
"decimalSeparator","Decimal separator","string","-","-"
"defaultValue","The initial value","number","-","-"
"disabled","If disable the input","boolean","false","-"
"formatter","Specifies the format of the value presented","function(value: number | string): string","-","-"
"keyboard","If enable keyboard behavior","boolean","true","4.12.0"
"max","The max value","number","Number.MAX_SAFE_INTEGER","-"
"min","The min value","number","Number.MIN_SAFE_INTEGER","-"
"parser","Specifies the value extracted from formatter","function(string): number","-","-"
"precision","The precision of input value. Will use formatter when config of formatter","number","-","-"
"readOnly","If readonly the input","boolean","false","-"
"size","The height of input box","large | middle | small","-","-"
"step","The number to which the current value is increased or decreased. It can be an integer or decimal","number | string","1","-"
"stringMode","Set value as string to support high precision decimals. Will return string value by onChange","boolean","false","4.13.0"
"value","The current value","number","-","-"
"onChange","The callback triggered when the value is changed","function(value: number | string | null)","-","-"
"onPressEnter","The callback function that is triggered when Enter key is pressed","function(e)","-","-"
"onStep","The callback function that is triggered when click up or down buttons","(value: number, info: { offset: number, type: 'up' | 'down' }) => void","-","4.7.0"
"blur()","Remove focus",,,
"focus()","Get focus",,,
