"property","description","type","default","version","isEnum"
"bordered","Toggles rendering of the border around the list","boolean","false","",false
"dataSource","DataSource array for list","any[]","-","",false
"footer","List footer renderer","ReactNode","-","",false
"grid","The grid type of list. You can set grid to something like {gutter: 16, column: 4}","object","-","",false
"header","List header renderer","ReactNode","-","",false
"itemLayout","The layout of list","horizontal | vertical","horizontal","",false
"loading","Shows a loading indicator while the contents of the list are being fetched","boolean | SpinProps (more)","false","",false
"loadMore","Shows a load more content","ReactNode","-","",false
"locale","The i18n text including empty text","object","{emptyText: No Data}","",false
"pagination","Pagination config, hide it by setting it to false","boolean | object","false","",false
"renderItem","Customize list item when using dataSource","(item) => ReactNode","-","",false
"rowKey","Item's unique value, could be an Item's key which holds a unique value of type React.Key or function that receives Item and returns a React.Key","keyof T | (item: T) => React.Key","""key""","",false
"size","Size of list","default | large | small","default","",false
"split","Toggles rendering of the split under the list item","boolean","true","",false
