"property","description","type","default","version","isEnum"
"defaultOpenKeys","Array with the keys of default opened sub menus","string[]","-","",false
"defaultSelectedKeys","Array with the keys of default selected menu items","string[]","-","",false
"expandIcon","custom expand icon of submenu","ReactNode | (props: SubMenuProps & { isSubMenu: boolean }) => ReactNode","-","4.9.0",false
"forceSubMenuRender","Render submenu into DOM before it becomes visible","boolean","false","",false
"inlineCollapsed","Specifies the collapsed status when menu is inline mode","boolean","-","",false
"inlineIndent","Indent (in pixels) of inline menu items on each level","number","24","",false
"mode","Type of menu","vertical | horizontal | inline","vertical","",false
"multiple","Allows selection of multiple items","boolean","false","",false
"openKeys","Array with the keys of currently opened sub-menus","string[]","-","",false
"overflowedIndicator","Customized icon when menu is collapsed","ReactNode","-","",false
"selectable","Allows selecting menu items","boolean","true","",false
"selectedKeys","Array with the keys of currently selected menu items","string[]","-","",false
"style","Style of the root node","CSSProperties","-","",false
"subMenuCloseDelay","Delay time to hide submenu when mouse leaves (in seconds)","number","0.1","",false
"subMenuOpenDelay","Delay time to show submenu when mouse enters, (in seconds)","number","0","",false
"theme","Color theme of the menu","light | dark","light","",false
"triggerSubMenuAction","Which action can trigger submenu open/close","hover | click","hover","",false
"onClick","Called when a menu item is clicked","function({ item, key, keyPath, domEvent })","-","",false
"onDeselect","Called when a menu item is deselected (multiple mode only)","function({ item, key, keyPath, selectedKeys, domEvent })","-","",false
"onOpenChange","Called when sub-menus are opened or closed","function(openKeys: string[])","-","",false
"onSelect","Called when a menu item is selected","function({ item, key, keyPath, selectedKeys, domEvent })","-","",false
