"property","description","type","default","version"
"content","The content of the message","ReactNode | config","-",
"duration","Time(seconds) before auto-dismiss, don't dismiss if set to 0","number","1.5",
"onClose","Specify a function that will be called when the message is closed","function","-",
"className","Customized CSS class","string","-",
"content","The content of the message","ReactNode","-",
"duration","Time(seconds) before auto-dismiss, don't dismiss if set to 0","number","3",
"icon","Customized Icon","ReactNode","-",
"key","The unique identifier of the Message","string | number","-",
"style","Customized inline style","CSSProperties","-",
"onClick","Specify a function that will be called when the message is clicked","function","-",
"onClose","Specify a function that will be called when the message is closed","function","-",
"duration","Time before auto-dismiss, in seconds","number","3",""
"getContainer","Return the mount node for Message","() => HTMLElement","() => document.body",""
"maxCount","Max message show, drop oldest if exceed limit","number","-",""
"prefixCls","The prefix className of message node","string","ant-message","4.5.0"
"rtl","Whether to enable RTL mode","boolean","false",""
"top","Distance from top","number","8",""
