"property","description","type","default","version","isEnum"
"current","Current page number","number","-","",false
"defaultCurrent","Default initial page number","number","1","",false
"defaultPageSize","Default number of data items per page","number","10","",false
"disabled","Disable pagination","boolean","-","",false
"hideOnSinglePage","Whether to hide pager on single page","boolean","false","",false
"itemRender","To customize item's innerHTML","(page, type: 'page' | 'prev' | 'next', originalElement) => React.ReactNode","-","",false
"pageSize","Number of data items per page","number","-","",false
"pageSizeOptions","Specify the sizeChanger options","string[]","[10, 20, 50, 100]","",false
"responsive","If size is not specified, Pagination would resize according to the width of the window","boolean","-","",false
"showLessItems","Show less page items","boolean","false","",false
"showQuickJumper","Determine whether you can jump to pages directly","boolean | { goButton: ReactNode }","false","",false
"showSizeChanger","Determine whether to show pageSize select, it will be true when total > 50","boolean","-","",false
"showTitle","Show page item's title","boolean","true","",false
"showTotal","To display the total number and range","function(total, range)","-","",false
"simple","Whether to use simple mode","boolean","-","",false
"size","Specify the size of Pagination, can be set to small","default | small","default","",false
"total","Total number of data items","number","0","",false
"onChange","Called when the page number or pageSize is changed, and it takes the resulting page number and pageSize as its arguments","function(page, pageSize)","-","",false
"onShowSizeChange","Called when pageSize is changed","function(current, size)","-","",false
