"property","description","type","default","version","isEnum"
"allowClear","Show clear button","boolean","false","",false
"autoClearSearchValue","Whether the current search will be cleared on selecting an item. Only applies when mode is set to multiple or tags","boolean","true","",false
"autoFocus","Get focus by default","boolean","false","",false
"bordered","Whether has border style","boolean","true","",false
"clearIcon","The custom clear icon","ReactNode","-","",false
"defaultActiveFirstOption","Whether active first option by default","boolean","true","",false
"defaultOpen","Initial open state of dropdown","boolean","-","",false
"defaultValue","Initial selected option","string | string[]
number | number[]
LabeledValue | LabeledValue[]","-","",false
"disabled","Whether disabled select","boolean","false","",false
"dropdownClassName","The className of dropdown menu","string","-","",false
"dropdownMatchSelectWidth","Determine whether the dropdown menu and the select input are the same width. Default set min-width same as input. Will ignore when value less than select width. false will disable virtual scroll","boolean | number","true","",false
"dropdownRender","Customize dropdown content","(originNode: ReactNode) => ReactNode","-","",false
"dropdownStyle","The style of dropdown menu","CSSProperties","-","",false
"filterOption","If true, filter options by input, if function, filter options against it. The function will receive two arguments, inputValue and option, if the function returns true, the option will be included in the filtered set; Otherwise, it will be excluded","boolean | function(inputValue, option)","true","",false
"filterSort","Sort function for search options sorting, see Array.sort's compareFunction","(optionA: Option, optionB: Option) => number","-","4.9.0",false
"getPopupContainer","Parent Node which the selector should be rendered to. Default to body. When position issues happen, try to modify it into scrollable content and position it relative. Example","function(triggerNode)","() => document.body","",false
"labelInValue","Whether to embed label in value, turn the format of value from string to { value: string, label: ReactNode }","boolean","false","",false
"listHeight","Config popup height","number","256","",false
"loading","Indicate loading state","boolean","false","",false
"maxTagCount","Max tag count to show. responsive will cost render performance","number | responsive","-","responsive: 4.10",false
"maxTagPlaceholder","Placeholder for not showing tags","ReactNode | function(omittedValues)","-","",false
"maxTagTextLength","Max tag text length to show","number","-","",false
"menuItemSelectedIcon","The custom menuItemSelected icon with multiple options","ReactNode","-","",false
"mode","Set mode of Select","multiple | tags","-","",false
"notFoundContent","Specify content to show when no result matches","ReactNode","Not Found","",false
"open","Controlled open state of dropdown","boolean","-","",false
"optionFilterProp","Which prop value of option will be used for filter if filterOption is true. If options is set, it should be set to label","string","value","",false
"optionLabelProp","Which prop value of option will render as content of select. Example","string","children","",false
"options","Select options. Will get better perf than jsx definition","{ label, value }[]","-","",false
"placeholder","Placeholder of select","ReactNode","-","",false
"removeIcon","The custom remove icon","ReactNode","-","",false
"searchValue","The current input ""search"" text","string","-","",false
"showArrow","Whether to show the drop-down arrow","boolean","true(for single select), false(for multiple select)","",false
"showSearch","Whether show search input in single mode","boolean","false","",false
"size","Size of Select input","large | middle | small","middle","",false
"suffixIcon","The custom suffix icon","ReactNode","-","",false
"tagRender","Customize tag render","(props) => ReactNode","-","",false
"tokenSeparators","Separator used to tokenize on tag and multiple mode","string[]","-","",false
"value","Current selected option (considered as a immutable array)","string | string[]
number | number[]
LabeledValue | LabeledValue[]","-","",false
"virtual","Disable virtual scroll when set to false","boolean","true","4.1.0",false
"onBlur","Called when blur","function","-","",false
"onChange","Called when select an option or input value change","function(value, option:Option | Array<Option>)","-","",false
"onClear","Called when clear","function","-","4.6.0",false
"onDeselect","Called when an option is deselected, param is the selected option's value. Only called for multiple or tags, effective in multiple or tags mode only","function(string | number | LabeledValue)","-","",false
"onDropdownVisibleChange","Called when dropdown open","function(open)","-","",false
"onFocus","Called when focus","function","-","",false
"onInputKeyDown","Called when key pressed","function","-","",false
"onMouseEnter","Called when mouse enter","function","-","",false
"onMouseLeave","Called when mouse leave","function","-","",false
"onPopupScroll","Called when dropdown scrolls","function","-","",false
"onSearch","Callback function that is fired when input changed","function(value: string)","-","",false
"onSelect","Called when an option is selected, the params are option's value (or key) and option instance","function(string | number | LabeledValue, option: Option)","-","",false
