"property","description","type","default","version"
"active","Show animation effect","boolean","false",
"avatar","Show avatar placeholder","boolean | SkeletonAvatarProps","false",
"loading","Display the skeleton when true","boolean","-",
"paragraph","Show paragraph placeholder","boolean | SkeletonParagraphProps","true",
"round","Show paragraph and title radius when true","boolean","false",
"title","Show title placeholder","boolean | SkeletonTitleProps","true",
"active","Show animation effect, only valid when used avatar independently","boolean","false",
"shape","Set the shape of avatar","circle | square","-",
"size","Set the size of avatar","number | large | small | default","-",
"width","Set the width of title","number | string","-",
"rows","Set the row count of paragraph","number","-",
"width","Set the width of paragraph. When width is an Array, it can set the width of each row. Otherwise only set the last row width","number | string | Array<number | string>","-",
"active","Show animation effect","boolean","false",
"shape","Set the shape of button","circle | round | default","-",
"size","Set the size of button","large | small | default","-",
"active","Show animation effect","boolean","false",
"size","Set the size of input","large | small | default","-",
