"property","description","type","default","version"
"decimalSeparator","The decimal separator","string",".",""
"formatter","Customize value display logic","(value) => ReactNode","-",""
"groupSeparator","Group separator","string",",",""
"loading","Loading status of Statistic","boolean","false","4.8.0"
"precision","The precision of input value","number","-",""
"prefix","The prefix node of value","ReactNode","-",""
"suffix","The suffix node of value","ReactNode","-",""
"title","Display title","ReactNode","-",""
"value","Display value","string | number","-",""
"valueStyle","Set value css style","CSSProperties","-",""
"format","Format as moment","string","HH:mm:ss",""
"prefix","The prefix node of value","ReactNode","-",""
"suffix","The suffix node of value","ReactNode","-",""
"title","Display title","ReactNode","-",""
"value","Set target countdown time","number | moment","-",""
"valueStyle","Set value css style","CSSProperties","-",""
"onFinish","Trigger when time's up","() => void","-",""
"onChange","Trigger when time's changing","(value: number) => void","-","4.16.0"
