"property","description","type","default","version","isEnum"
"className","Additional class to Steps","string","-","",false
"current","To set the current step, counting from 0. You can overwrite this state by using status of Step","number","0","",false
"direction","To specify the direction of the step bar, horizontal or vertical","string","horizontal","",false
"initial","Set the initial step, counting from 0","number","0","",false
"labelPlacement","Place title and description with horizontal or vertical direction","string","horizontal","",false
"percent","Progress circle percentage of current step in process status (only works on basic Steps)","number","-","4.5.0",false
"progressDot","Steps with progress dot style, customize the progress dot by setting it to a function. labelPlacement will be vertical","boolean | (iconDot, {index, status, title, description}) => ReactNode","false","",false
"responsive","Change to vertical direction when screen width smaller than 532px","boolean","true","",false
"size","To specify the size of the step bar, default and small are currently supported","string","default","",false
"status","To specify the status of current step, can be set to one of the following values: wait process finish error","string","process","",false
"type","Type of steps, can be set to one of the following values: default, navigation","string","default","",false
"onChange","Trigger when Step is changed","(current) => void","-","",false
