"property","description","type","default","version","isEnum"
"activeKey","Current TabPane's key","string","-","",false
"addIcon","Customize add icon","ReactNode","-","4.4.0",false
"animated","Whether to change tabs with animation. Only works while tabPosition=""top""","boolean | { inkBar: boolean, tabPane: boolean }","{ inkBar: true, tabPane: false }","",false
"centered","Centers tabs","boolean","false","4.4.0",false
"defaultActiveKey","Initial active TabPane's key, if activeKey is not set","string","-","",false
"hideAdd","Hide plus icon or not. Only works while type=""editable-card""","boolean","false","",false
"moreIcon","The custom icon of ellipsis","ReactNode","<EllipsisOutlined />","4.14.0",false
"renderTabBar","Replace the TabBar","(props: DefaultTabBarProps, DefaultTabBar: React.ComponentClass) => React.ReactElement","-","",false
"size","Preset tab bar size","large | default | small","default","",false
"tabBarExtraContent","Extra content in tab bar","ReactNode | {left?: ReactNode, right?: ReactNode}","-","object: 4.6.0",false
"tabBarGutter","The gap between tabs","number","-","",false
"tabBarStyle","Tab bar style object","object","-","",false
"tabPosition","Position of tabs","top | right | bottom | left","top","",false
"type","Basic style of tabs","line | card | editable-card","line","",false
"onChange","Callback executed when active tab is changed","function(activeKey) {}","-","",false
"onEdit","Callback executed when tab is added or removed. Only works while type=""editable-card""","(targetKey, action) => void","-","",false
"onTabClick","Callback executed when tab is clicked","function(key: string, event: MouseEvent)","-","",false
"onTabScroll","Trigger when tab scroll","function({ direction: left | right | top | bottom })","-","4.3.0",false
