"property","description","type","default","version"
"dataSource","Used for setting the source data. The elements that are part of this array will be present the left column. Except the elements whose keys are included in targetKeys prop","RecordType extends TransferItem = TransferItem[]","[]",""
"disabled","Whether disabled transfer","boolean","false",""
"filterOption","A function to determine whether an item should show in search result list","(inputValue, option): boolean","-",""
"footer","A function used for rendering the footer","(props) => ReactNode","-",""
"listStyle","A custom CSS style used for rendering the transfer columns","object | ({direction: left | right}) => object","-",""
"locale","The i18n text including filter, empty text, item unit, etc","{ itemUnit: string; itemsUnit: string; searchPlaceholder: string; notFoundContent: ReactNode; }","{ itemUnit: item, itemsUnit: items, notFoundContent: The list is empty, searchPlaceholder: Search here }",""
"oneWay","Display as single direction style","boolean","false","4.3.0"
"operations","A set of operations that are sorted from top to bottom","string[]","[>, <]",""
"operationStyle","A custom CSS style used for rendering the operations column","object","-",""
"pagination","Use pagination. Not work in render props","boolean | { pageSize: number }","false","4.3.0"
"render","The function to generate the item shown on a column. Based on an record (element of the dataSource array), this function should return a React element which is generated from that record. Also, it can return a plain object with value and label, label is a React element and value is for title","(record) => ReactNode","-",""
"selectAllLabels","A set of customized labels for select all checkboxs on the header","(ReactNode | (info: { selectedCount: number, totalCount: number }) => ReactNode)[]","-",""
"selectedKeys","A set of keys of selected items","string[]","[]",""
"showSearch","If included, a search box is shown on each column","boolean","false",""
"showSelectAll","Show select all checkbox on the header","boolean","true",""
"targetKeys","A set of keys of elements that are listed on the right column","string[]","[]",""
"titles","A set of titles that are sorted from left to right","ReactNode[]","-",""
"onChange","A callback function that is executed when the transfer between columns is complete","(targetKeys, direction, moveKeys): void","-",""
"onScroll","A callback function which is executed when scroll options list","(direction, event): void","-",""
"onSearch","A callback function which is executed when search field are changed","(direction: left | right, value: string): void","-",""
"onSelectChange","A callback function which is executed when selected items are changed","(sourceSelectedKeys, targetSelectedKeys): void","-",""
"direction","List render direction","left | right","",
"disabled","Disable list or not","boolean","",
"filteredItems","Filtered items","RecordType[]","",
"selectedKeys","Selected items","string[]","",
"onItemSelect","Select item","(key: string, selected: boolean)","",
"onItemSelectAll","Select a group of items","(keys: string[], selected: boolean)","",
