"property","description","type","default","version","isEnum"
"allowDrop","Whether to allow dropping on the node","({ dropNode, dropPosition }) => boolean","-","",false
"autoExpandParent","Whether to automatically expand a parent treeNode","boolean","false","",false
"blockNode","Whether treeNode fill remaining horizontal space","boolean","false","",false
"checkable","Add a Checkbox before the treeNodes","boolean","false","",false
"checkedKeys","(Controlled) Specifies the keys of the checked treeNodes (PS: When this specifies the key of a treeNode which is also a parent treeNode, all the children treeNodes of will be checked; and vice versa, when it specifies the key of a treeNode which is a child treeNode, its parent treeNode will also be checked. When checkable and checkStrictly is true, its object has checked and halfChecked property. Regardless of whether the child or parent treeNode is checked, they won't impact each other","string[] | {checked: string[], halfChecked: string[]}","[]","",false
"checkStrictly","Check treeNode precisely; parent treeNode and children treeNodes are not associated","boolean","false","",false
"defaultCheckedKeys","Specifies the keys of the default checked treeNodes","string[]","[]","",false
"defaultExpandAll","Whether to expand all treeNodes by default","boolean","false","",false
"defaultExpandedKeys","Specify the keys of the default expanded treeNodes","string[]","[]","",false
"defaultExpandParent","If auto expand parent treeNodes when init","boolean","true","",false
"defaultSelectedKeys","Specifies the keys of the default selected treeNodes","string[]","[]","",false
"disabled","Whether disabled the tree","boolean","false","",false
"draggable","Specifies whether this Tree or the node is draggable (IE > 8)","boolean | ((node: DataNode) => boolean)","false","",false
"expandedKeys","(Controlled) Specifies the keys of the expanded treeNodes","string[]","[]","",false
"filterTreeNode","Defines a function to filter (highlight) treeNodes. When the function returns true, the corresponding treeNode will be highlighted","function(node)","-","",false
"height","Config virtual scroll height. Will not support horizontal scroll when enable this","number","-","",false
"icon","Customize treeNode icon","ReactNode | (props) => ReactNode","-","",false
"loadData","Load data asynchronously","function(node)","-","",false
"loadedKeys","(Controlled) Set loaded tree nodes. Need work with loadData","string[]","[]","",false
"multiple","Allows selecting multiple treeNodes","boolean","false","",false
"selectable","Whether can be selected","boolean","true","",false
"selectedKeys","(Controlled) Specifies the keys of the selected treeNodes","string[]","-","",false
"showIcon","Shows the icon before a TreeNode's title. There is no default style; you must set a custom style for it if set to true","boolean","false","",false
"showLine","Shows a connecting line","boolean | {showLeafIcon: boolean}","false","",false
"switcherIcon","Customize collapse/expand icon of tree node","ReactNode","-","",false
"titleRender","Customize tree node title render","(nodeData) => ReactNode","-","4.5.0",false
"treeData","The treeNodes data Array, if set it then you need not to construct children TreeNode. (key should be unique across the whole array)","array<{ key, title, children, [disabled, selectable] }>","-","",false
"treeLoadedKeys","(Controlled) Set loaded tree nodes, work with loadData only","string[]","[]","",false
"virtual","Disable virtual scroll when set to false","boolean","true","4.1.0",false
"onCheck","Callback function for when the onCheck event occurs","function(checkedKeys, e:{checked: bool, checkedNodes, node, event, halfCheckedKeys})","-","",false
"onDragEnd","Callback function for when the onDragEnd event occurs","function({event, node})","-","",false
"onDragEnter","Callback function for when the onDragEnter event occurs","function({event, node, expandedKeys})","-","",false
"onDragLeave","Callback function for when the onDragLeave event occurs","function({event, node})","-","",false
"onDragOver","Callback function for when the onDragOver event occurs","function({event, node})","-","",false
"onDragStart","Callback function for when the onDragStart event occurs","function({event, node})","-","",false
"onDrop","Callback function for when the onDrop event occurs","function({event, node, dragNode, dragNodesKeys})","-","",false
"onExpand","Callback function for when a treeNode is expanded or collapsed","function(expandedKeys, {expanded: bool, node})","-","",false
"onLoad","Callback function for when a treeNode is loaded","function(loadedKeys, {event, node})","-","",false
"onRightClick","Callback function for when the user right clicks a treeNode","function({event, node})","-","",false
"onSelect","Callback function for when the user clicks a treeNode","function(selectedKeys, e:{selected: bool, selectedNodes, node, event})","-","",false
