"property","description","type","default","version","isEnum"
"code","Code style","boolean","false","",false
"copyable","Whether to be copyable, customize it via setting an object","boolean | copyable","false","copyable",false
"delete","Deleted line style","boolean","false","",false
"disabled","Disabled content","boolean","false","",false
"editable","If editable. Can control edit state when is object","boolean | editable","false","editable",false
"ellipsis","Display ellipsis when text overflows, can configure rows and expandable by using object","boolean | ellipsis","false","ellipsis",false
"mark","Marked style","boolean","false","",false
"onClick","Set the handler to handle click event","(event) => void","-","",false
"strong","Bold style","boolean","false","",false
"italic","Italic style","boolean","false","4.16.0",false
"type","Content type","secondary | success | warning | danger","-","success: 4.6.0",true
"underline","Underlined style","boolean","false","",false
